,,,,,,,,,,,Demographic,,,,Clinical,,,,,,,
CovidenceID,PMID,Study ID,Title,publication.year,Study.location.1,Study.location.2,Number.of.samples.sequenced,Repository,Sequence.IDs.reported,SequenceID.article.location,Age,Gender,Race.Ethnicity.Nationality,demographic.article.location,Comorbilities,Inpatient/Outpatient,Outcomes,Severity,Signs/Symptoms,Treatment,Vaccination status,clinical.article.location
2153,39080396,Selvavinayagam 2024,"Emergence of SARS-CoV-2 omicron variant JN.1 in Tamil Nadu, India - Clinical characteristics and novel mutations.",2024,India,,66,GenBank,Yes,Supplemental materials,Yes,Yes,No,Figure,Yes,Yes,No,Yes,Yes,Yes,Yes,Figure
2144,39066305,FerreiradaSilva 2024,"Insights into SARS-CoV-2 Surveillance among Prison Populations in Mato Grosso do Sul, Brazil, in 2022.",2024,Brazil,,28,GISAID,Yes,Table,Yes,Yes,No,Text; Table,No,No,No,No,Yes,No,Yes,Figure
2142,39066383,Gudina 2024,Tailoring COVID-19 Vaccination Strategies in High-Seroprevalence Settings: Insights from Ethiopia.,2024,  Ethiopia,,574,Sequence read archive (SRA); BioProject; BioSample,Yes,Text,Yes,Yes,No,Table; Supplemental,Yes,No,No,No,No,No,Yes,table; Supplemental
2137,39065097,Bicchieraro 2024,"SARS-CoV-2 Molecular Evolution: A Focus on Omicron Variants in Umbria, Italy.",2024, Italy,,3300,GISAID,No,,Yes,Yes,No,Text; Table,No,Yes,No,Yes,Yes,No,Yes,Text; table
2133,39063569,DiSpigna 2024,The Behaviour of IL-6 and Its Soluble Receptor Complex during Different Waves of the COVID-19 Pandemic.,2024, Italy,,157,GenBank,No,,Yes,Yes,No,Table,Yes,No,Yes,No,No,No,No,Text; table
2125,39039137,Piccoli 2024,Genomic surveillance and vaccine response to the dominant SARS-CoV-2 XBB lineage in Rio Grande do Sul.,2024,Brazil,,729,GISAID,Yes,Text; Supplemental materials,Yes,Yes,No,Text; Table; Supplemental,No,No,Yes,No,No,No,Yes,Text; Supplemental; Figure
2118,39014481,Goldswain 2024,SARS-CoV-2 population dynamics in immunocompetent individuals in a closed transmission chain shows genomic diversity over the course of infection.,2024, Unknown ,,25,Sequence read archive (SRA); BioProject; BioSample,Yes,Table,Yes,Yes,No,Text,Yes,Yes,No,No,Yes,No,Yes,Text; table; Supplemental; Figure
2117,39015352,Choga 2024,Low Prevalence of Nirmatrelvir-Ritonavir Resistance-Associated Mutations in SARS-CoV-2 Lineages From Botswana.,2024, Botswana,,5254,GISAID,Yes,Text; Table,Yes,Yes,No,Table,No,No,No,No,No,Yes,No,Text
2110,38651907,JonyMHK 2024,Emergence of SARS-CoV-2 Omicron sub-lineage JN.1 in Bangladesh.,2024, Bangladesh,,14,GenBank; GISAID; Sequence read archive (SRA); BioProject,Yes,Text; Table,Yes,Yes,Yes,Table,No,No,No,No,Yes,No,No,table
2108,38656213,Tahsin 2024,"Coding-complete genomes of 18 SARS-CoV-2 Omicron JN.1, JN.1.4, and JN.1.11 sub-lineages in Bangladesh.",2024, Bangladesh,,18,GenBank; GISAID; Sequence read archive (SRA),Yes,Table,Yes,Yes,Yes,Table,No,No,No,No,No,No,Yes,table
2098,38963881,Tramuto 2024,SARS-CoV-2 genomic surveillance of migrants arriving to Europe through the Mediterranean routes.,2024, Italy,,472,GISAID,Yes,Supplemental materials,Yes,Yes,Yes,Text; Table; Supplemental,No,No,No,Yes,Yes,No,No,table
2092,38940865,deProst 2024,"Clinical phenotypes and outcomes associated with SARS-CoV-2 Omicron sublineage JN.1 in critically ill COVID-19 patients: a prospective, multicenter cohort study in France, November 2022 to January 2024.",2024, France,,233,GenBank,No,,Yes,Yes,No,Table,Yes,Yes,Yes,Yes,Yes,Yes,Yes,table
2079,38921818,Ereqat 2024,Epidemiological Characterization and Genetic Variation of the SARS-CoV-2 Delta Variant in Palestine.,2024, Palestine,,571,GISAID,Yes,Text,Yes,Yes,No,Supplemental,No,No,No,No,No,No,No,
2058,38882660,Ayubov 2024,Most accurate mutations in SARS-CoV-2 genomes identified in Uzbek patients show novel amino acid changes.,2024, Uzbekistan,,17,GenBank; GISAID,Yes,Text; Table; Supplemental materials,Yes,Yes,No,Table; Supplemental,No,No,No,No,Yes,No,No,Text
2039,37922037,Glueck 2024,Impaired immune responses and prolonged viral replication in lung allograft recipients infected with SARS-CoV-2 in the early phase after transplantation.,2024, Germany,,NR,GISAID,No,Text,Yes,Yes,No,Text; Table; Supplemental,No,Yes,Yes,Yes,Yes,Yes,Yes,Text; table; Supplemental; Figure
2035,38781929,Bankers 2024,"SARS-CoV-2 Disease Severity and Cycle Threshold Values in Children Infected during Pre-Delta, Delta, and Omicron Periods, Colorado, USA, 2021-2022.",2024,United States,,1269,GenBank; GISAID; Sequence read archive (SRA); BioProject; BioSample,Yes,Supplemental materials,Yes,Yes,Yes,Text; Table,Yes,Yes,No,Yes,Yes,Yes,Yes,Text; table
2033,38763300,Wang 2024,Associations between genetic mutations in different SARS-CoV-2 strains and negative conversion time of viral RNA among imported cases in Hangzhou: A cross-sectional study.,2024, China,,146,GenBank,Yes,Text,Yes,Yes,Yes,Table,Yes,No,No,No,Yes,No,Yes,Text; table; Supplemental; Figure
2002,38746751,daSilvaACVF 2024,"Genomic surveillance and serological profile of SARS-CoV-2 variants circulating in Macaé and nearby cities, southeastern Brazil.",2024,Brazil,,1,GenBank; GISAID,Yes,Text,Yes,No,No,Text,No,No,No,No,Yes,No,Yes,Figure
1999,38728305,Päll 2024,SARS-CoV-2 clade dynamics and their associations with hospitalisations during the first two years of the COVID-19 pandemic.,2024, Estonia and Germany ,,25375,GenBank,Yes,Text; Supplemental materials,Yes,Yes,Yes,Text; Table,No,Yes,Yes,No,Yes,Yes,Yes,Text; table
1994,38714751,Er 2024,Multimodal data fusion using sparse canonical correlation analysis and cooperative learning: a COVID-19 cohort study.,2024, Turkey,,149,GISAID,No,,Yes,Yes,No,Text; Table,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Text; table
1992,38715113,Feng 2024,Evidence of SARS-CoV-2 convergent evolution in immunosuppressed patients treated with antiviral therapies.,2024,United States,,210,BioProject,Yes,Text,Yes,Yes,Yes,Text; Supplemental,Yes,Yes,No,Yes,Yes,Yes,Yes,Text; table; Supplemental; Figure
1991,38316363,Chen 2024,Quantitative and qualitative subgenomic RNA profiles of SARS-CoV-2 in respiratory samples: A comparison between Omicron BA.2 and non-VOC-D614G.,2024, China,,456,GISAID; BioSample,Yes,Supplemental materials,Yes,Yes,No,Table; Supplemental,No,No,No,No,Yes,No,No,table
1983,38698947,Rios-Guzman 2024,COVID-19 outbreak and genomic investigation in an inpatient behavioral health unit.,2024,United States,,22,GISAID,Yes,Supplemental materials,Yes,Yes,Yes,Table,No,No,No,No,Yes,No,Yes,Text
1977,38684722,Igari 2024,Dynamic diversity of SARS-CoV-2 genetic mutations in a lung transplantation patient with persistent COVID-19.,2024, Japan,,8,GISAID; Sequence read archive (SRA); BioProject; BioSample,Yes,Text,Yes,No,No,Text,Yes,Yes,Yes,No,Yes,Yes,Yes,Text; Figure
1970,38668234,Oktavianthi 2024,Whole-Genome Sequencing and Mutation Analyses of SARS-CoV-2 Isolates from Indonesia.,2024, Indonesia,,276,GISAID,Yes,Text,Yes,Yes,Yes,Text; Table; Supplemental,No,Yes,No,No,No,Yes,Yes,Text; table; Supplemental
1968,38675989,Qu 2024,"Characterizing Infections in Two Epidemic Waves of SARS-CoV-2 Omicron Variants: A Cohort Study in Guangzhou, China.",2024, China,,58, National Genomics Data Center,Yes,Text,Yes,Yes,No,Table,No,No,No,No,Yes,No,Yes,table
1960,38658426,Bay 2024,COVID-19 associated pulmonary aspergillosis in critically-ill patients: a prospective multicenter study in the era of Delta and Omicron variants.,2024, France,,566,GISAID,No,,Yes,Yes,No,Table,Yes,Yes,Yes,Yes,Yes,Yes,Yes,table
1951,38638575,Futatsusako 2024,Longitudinal analysis of genomic mutations in SARS-CoV-2 isolates from persistent COVID-19 patient.,2024, Japan,,4,GISAID,Yes,Text; Table,Yes,Yes,Yes,Text; Figure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Text; Figure
1946,38433460,Lozano 2024,"COVID-19 outbreak at a residential apartment building in Northern Ontario, Canada.",2024, Canada,,24,GISAID; Sequence read archive (SRA),Yes,Supplemental materials,Yes,Yes,Yes,Table,No,No,No,No,Yes,No,No,Text; table
1942,38623229,Fokam 2024,SARS-CoV-2 genomic surveillance and reliability of PCR single point mutation assay (SNPsig® SARS-CoV-2 EscapePLEX CE) for the rapid detection of variants of concern in Cameroon.,2024, Cameroon,,163,GenBank,Yes,Text,Yes,Yes,No,Text,No,No,No,No,No,No,No,
1936,38605705,Liu 2024,Characteristics of SARS-CoV-2 Omicron BA.5 variants in Shanghai after ending the zero-COVID policy in December 2022: a clinical and genomic analysis.,2024, China,,,GISAID,Yes,Text,Yes,Yes,No,Table,Yes,Yes,No,No,Yes,No,No,table
1931,38512312,García-López 2024,Exploration of low-frequency allelic variants of SARS-CoV-2 genomes reveals coinfections in Mexico occurred during periods of VOCs turnover.,2024, Mexico,,"29,661",GISAID,Yes,Text,Yes,No,Yes,Text,No,Yes,Yes,Yes,No,No,No,Text
1928,38601544,Acuña-Castillo 2024,A retrospective study suggests 55 days of persistence of SARS-CoV-2 during the first wave of the pandemic in Santiago de Chile.,2024, Chile,,2,BioSample,Yes,Text,Yes,Yes,No,Text,Yes,No,No,No,Yes,No,No,
1925,38527669,Khairnar 2024,COVID-19 genome surveillance: A geographical landscape and mutational mapping of SARS-CoV-2 variants in central India over two years.,2024,India,,3002,GISAID;   Indian biological data centre (IBDC),Yes,Supplemental materials,Yes,Yes,Yes,Text,No,Yes,Yes,No,No,No,Yes,table
1904,38566991,Goguet 2024,Immune and behavioral correlates of protection against symptomatic post-vaccination SARS-CoV-2 infection.,2024,,,13, Infectious Disease Clinical Research Program - contactus@idcrp.org,No,,Yes,Yes,Yes,Text; Table; Supplemental,Yes,No,No,No,No,No,Yes,
1901,38481049,Lee 2024,"Risk factors for SARS-CoV-2 transmission during a movie theater outbreak in Incheon in the Republic of Korea, November 2021: a retrospective study.",2024, South Korea,,77,GISAID,Yes,Supplemental materials,Yes,Yes,No,Text; Table,No,No,No,No,Yes,No,Yes,table
1895,38543865,Caldrer 2024,Changes in the Adaptive Cellular Repertoire after Infection with Different SARS-CoV-2 VOCs in a Cohort of Vaccinated Healthcare Workers.,2024, Italy,,35,GISAID,No,,Yes,Yes,No,Text; Table,No,No,Yes,No,Yes,No,Yes,Text; table; Supplemental; Figure
1894,38543811,Manuto 2024,Immune System Deficiencies Do Not Alter SARS-CoV-2 Evolutionary Rate but Favour the Emergence of Mutations by Extending Viral Persistence.,2024,,,52,GenBank; GISAID,Yes,Supplemental materials,Yes,Yes,No,Table; Supplemental,Yes,Yes,No,No,Yes,Yes,Yes,table
1890,38543518,Alsuwairi 2024,Genomic Surveillance and Mutation Analysis of SARS-CoV-2 Variants among Patients in Saudi Arabia.,2024, Saudi Arabia,,1161,GISAID,No,,Yes,Yes,Yes,Text,Yes,Yes,Yes,Yes,Yes,No,Yes,Text
1887,38536820,Nagasawa 2024,Changes in SARS-CoV-2 viral load and titers over time in SARS-CoV-2-infected human corpses.,2024, Japan,,9,GISAID,Yes,Text,Yes,No,No,Table,Yes,No,Yes,No,No,No,No,table
1886,38542524,Yip 2024,Development and Evaluation of an In-House Real-Time RT-PCR Targeting nsp10 Gene for SARS-CoV-2 Detection.,2024, China,,49,Not Reported,No,,Yes,Yes,No,Text,No,No,No,No,No,No,No,
1884,38490581,Khemiri 2024,"Dynamic of SARS-CoV-2 variants circulation in Tunisian pediatric population, during successive waves, from March 2020 to September 2022.",2024, Tunisian,,369,GISAID,Yes,Supplemental materials,Yes,Yes,Yes,Text; Figure,No,No,No,No,Yes,No,No,Text
1880,38492859,Glenet 2024,Structural impact of a new spike Y170W mutation detected in early emerging SARS-CoV-2 Omicron variants in France.,2024, France,,15,GISAID,No,,Yes,Yes,No,Text; Supplemental,No,No,No,No,Yes,No,Yes,Text; Supplemental
1878,38516384,AguilarTicona 2024,"Overestimation of Severe Acute Respiratory Syndrome Coronavirus 2 Household Transmission in Settings of High Community Transmission: Insights From an Informal Settlement Community in Salvador, Brazil.",2024,Brazil,,69,GISAID,Yes,Supplemental materials,Yes,Yes,No,Text; Table; Supplemental,No,No,No,No,Yes,No,Yes,Text; table; Supplemental
1865,38498428,Stosic 2024,"Factors associated with COVID-19 among hospitalized patients with severe acute respiratory infections in Serbia, 2022-2023: A test negative case-control study.",2024, Serbia,,22,GISAID,Yes,Text,Yes,Yes,No,Table; Supplemental,Yes,Yes,Yes,Yes,Yes,Yes,Yes,table; Supplemental
1863,38500504,Kimpel 2024,Detection of infectious SARS-CoV-2 in ocular samples is linked to viral load in the nasopharynx.,2024, Austria,,23, the fasta files is part of supplementary material,No,,Yes,Yes,No,Text; Table,Yes,Yes,Yes,No,Yes,Yes,No,Text; table
1862,38491050,Karim 2024,Clearance of persistent SARS-CoV-2 associates with increased neutralizing antibodies in advanced HIV disease post-ART initiation.,2024,  South Afric,,35,GenBank; GISAID,Yes,Text,Yes,Yes,No,Supplemental,Yes,No,No,No,Yes,Yes,Yes,Supplemental
1856,38481147,Emanuels 2024,"Remote surveillance and detection of SARS-CoV-2 transmission among household members in King County, Washington.",2024,United States,,32,GISAID,Yes,Table,Yes,No,Yes,Text; Table,Yes,No,No,No,Yes,No,No,Text; table
1849,38476940,Buendia 2024,Hospital antimicrobial stewardship: profiling the oral microbiome after exposure to COVID-19 and antibiotics.,2024,United States,,83,BioProject,No,Text,Yes,Yes,Yes,Text; Table,Yes,Yes,Yes,Yes,Yes,Yes,No,Text; table
1846,38334271,Ciubotariu 2024,Investigating the rise of Omicron variant through genomic surveillance of SARS-CoV-2 infections in a highly vaccinated university population.,2024,United States,,792,GISAID,Yes,Supplemental materials,Yes,Yes,No,Table,No,No,No,No,Yes,No,Yes,table
1837,38443359,Jaumdally 2024,"Frequency, kinetics and determinants of viable SARS-CoV-2 in bioaerosols from ambulatory COVID-19 patients infected with the Beta, Delta or Omicron variants.",2024, South Africa,,38,GenBank,Yes,Supplemental materials,Yes,Yes,No,Table,Yes,No,No,No,Yes,No,Yes,table
1830,38435775,Ahmadi 2023,"Comparison of Circulating Variants during the Beginning, Middle and the End of the 4th Wave of COVID-19 in Tehran Province, Iran in 2021.",2023, Iran,,15,GISAID,Yes,Table,Yes,Yes,No,Text; Table,No,Yes,No,No,No,No,No,table
1828,38383783,Ghafari 2024,Prevalence of persistent SARS-CoV-2 in a large community surveillance study.,2024,UK,,105020,ENA,Yes,Text,Yes,Yes,No,Supplemental,No,No,Yes,No,No,No,No,Supplemental
1813,38380034,Gerashchenko 2024,Genetic characteristics of SARS-CoV-2 virus variants observed upon three waves of the COVID-19 pandemic in Ukraine between February 2021-January 2022.,2024, Ukraine,,345,GISAID,Yes,Supplemental materials,Yes,Yes,No,Supplemental,No,No,No,No,Yes,No,No,Text
1796,38350887,Rhoden 2024,Diversity of Omicron sublineages and clinical characteristics in hospitalized patients in the southernmost state of Brazil.,2024,Brazil,,37,GISAID,Yes,Supplemental materials,Yes,Yes,No,Table,Yes,Yes,Yes,No,Yes,No,Yes,Text; table
1790,38335209,Asamoah 2024,"COVID-19 in patients presenting with malaria-like symptoms at a primary healthcare facility in Accra, Ghana.",2024, Ghana,,17,GISAID,Yes,Text,Yes,Yes,No,Table,Yes,No,No,No,Yes,No,Yes,Text; table
1784,38415978,Hasan 2024,Genetic determinants of SARS-CoV-2 and the clinical outcome of COVID-19 in Southern Bangladesh.,2024, Bangladesh,,102,GISAID,Yes,Text,Yes,Yes,No,Table; Figure,Yes,Yes,No,Yes,Yes,No,Yes,Text; table; Figure
1682,37952911,Choga 2024,Rapid dynamic changes of FL.2 variant: A case report of COVID-19 breakthrough infection.,2024, Botswana,,6,GISAID,Yes,Text,Yes,Yes,No,Text,Yes,Yes,Yes,No,Yes,Yes,Yes,Text
1607,37926155,Faye 2024,Detection of a cluster of Omicron's BA.4 sublineage in Northern Senegal and identification of the first XAS recombinant variant in Senegal.,2024, Senegal ,,11,GISAID,Yes,Supplemental materials,Yes,Yes,No,Text; Supplemental,No,No,No,No,Yes,No,No,Text; Supplemental
1558,37891657,Alisoltani 2023,Resurgence of SARS-CoV-2 Delta after Omicron variant superinfection in an immunocompromised pediatric patient.,2023,United States,,7,GISAID,Yes,Supplemental materials,Yes,No,No,Text,Yes,Yes,Yes,Yes,Yes,Yes,No,Text; Figure
1541,37868100,Adzdzakiy 2024,"SARS-CoV-2 genetic variation and bacterial communities of naso-oropharyngeal samples in middle-aged and elderly COVID-19 patients in West Java, Indonesia.",2023, Indonesia,,43,GISAID,Yes,Text; Supplemental materials,Yes,Yes,No,Text; Supplemental,No,No,No,No,No,No,No,
1525,37850062,Ahmadi 2023,SARS-CoV-2 in patient with protein C deficiency: A case report.,2023, Iran,,1,GISAID,Yes,Table,Yes,Yes,No,Text,Yes,Yes,Yes,Yes,Yes,Yes,No,Text; table
1413,37630601,Alexiev 2023,Early Detection of the Recombinant SARS-CoV-2 XAN Variant in Bulgaria: Initial Genomic Insights into Yet Another Piece of the Growing Puzzle of Recombinant Clades.,2023, Bulgaria,,1,GISAID,Yes,Text,Yes,Yes,No,Text,No,Yes,Yes,No,No,No,No,Text
1390,37573409,Akter 2023,Spike protein mutations and structural insights of pangolin lineage B.1.1.25 with implications for viral pathogenicity and ACE2 binding affinity.,2023, Bangladesh,,850,GISAID,Yes,Text; Table; Supplemental materials,Yes,Yes,No,Text; Supplemental,No,No,No,No,No,No,No,
1131,37124130,Abdelmalick 2023,Genomic Evidence of Multiple Introductions of SARS-CoV-2 in Mauritania.,2023," Mauritania, Africa",,13,GISAID,Yes,Text; Table,Yes,Yes,Yes,Text; Table,No,No,Yes,No,No,No,No,table
726,35112893,Bitew 2022,SARS-CoV-2 Genome Sequence Obtained from Ethiopia,2022, Ethiopia,,15,GenBank; GISAID; Sequence read archive (SRA); BioProject,Yes,Text; Table,Yes,Yes,No,Table,No,No,No,No,No,No,No,
725,35323016,BinManjur 2022,Genome Sequences of 25 SARS-CoV-2 Sublineage B.1.1.529 Omicron Strains in Bangladesh,2022, Bangladesh,,25,GenBank; GISAID; Sequence read archive (SRA),Yes,Text; Table,Yes,Yes,No,Table,No,No,No,No,Yes,No,Yes,table
719,35062291,Baumgarte 2022,Investigation of a Limited but Explosive COVID-19 Outbreak in a German Secondary School,2022, Germany,,26, OSF,No,,Yes,Yes,No,Table,No,No,No,No,Yes,No,No,Text
718,35603276,Banho 2022,Impact of SARS-CoV-2 Gamma lineage introduction and COVID-19 vaccination on the epidemiological landscape of a Brazilian city,,Brazil,,305,GISAID,Yes,Supplemental materials,Yes,Yes,No,Text; Supplemental,No,No,No,No,No,No,No,
716,35317348,Babiker 2022,Unrecognized introductions of SARS-CoV-2 into the US state of Georgia shaped the early epidemic,2022,United States,,47,GISAID; BioProject,Yes,Text; Supplemental materials,Yes,Yes,Yes,Table; Supplemental,Yes,Yes,Yes,Yes,Yes,Yes,No,table; Supplemental
714,35358277,Ayubov 2022,Profiling of the most reliable mutations from sequenced SARS-CoV-2 genomes scattered in Uzbekistan,2021, Uzbekistan,,18,GenBank; GISAID;  Supplemental,Yes,Text; Table; Supplemental materials,Yes,Yes,No,Text; Table,No,No,No,No,Yes,No,No,Text
712,35328105,Anwar 2022,Coronavirus Genomes and Unique Mutations in Structural and Non-Structural Proteins in Pakistani SARS-CoV-2 Delta Variants during the Fourth Wave of the Pandemic,2022, Pakistan,,20,GenBank; BioProject,Yes,Text,Yes,Yes,No,Table,No,No,No,No,Yes,No,No,Text
711,35280916,Angulo 2022,"Assessment of Mutations Associated With Genomic Variants of SARS-CoV-2: RT-qPCR as a Rapid and Affordable Tool to Monitoring Known Circulating Variants in Chile, 2021",2022, Chile,,636,GISAID,No,Text,Yes,Yes,No,Text,No,Yes,No,No,Yes,No,No,Text
710,34766651,Angeletti 2022,SARS-CoV-2 AY.4.2 variant circulating in Italy: Genomic preliminary insight,2022, Italy,,10,GISAID,Yes,Text; Supplemental materials,Yes,Yes,No,Text; Supplemental,No,No,No,Yes,Yes,No,No,Text
709,34842496,Andrés 2022,"A year living with SARS-CoV-2: an epidemiological overview of viral lineage circulation by whole-genome sequencing in Barcelona city (Catalonia, Spain)",2021, Spain,,2166,GISAID,No,,Yes,Yes,No,Text; Table,No,Yes,No,No,No,No,No,Text
706,35128118,Alotaibi 2022,"SARS-CoV-2 in Egypt: epidemiology, clinical characterization and bioinformatics analysis",2022, Egypt,,144,GenBank,Yes,Supplemental materials,Yes,Yes,No,Text; Table,No,Yes,Yes,No,Yes,No,No,Text; table
705,35367360,Alotaibi 2022,"Identification, propagation and molecular characterization of SARS-CoV-2 delta variant isolated from Egyptian COVID-19 patients",2022, Egypt,,20,GenBank; GISAID;  Supplemental file,Yes,Text; Supplemental materials,No,No,Yes,Text,No,No,No,No,Yes,No,No,Text
702,35208724,Alkhatib 2022,First Case of a COVID-19 Patient Infected by Delta AY.4 with a Rare Deletion Leading to a N Gene Target Failure by a Specific Real Time PCR Assay: Novel Omicron VOC Might Be Doing Similar Scenario?,2022, Italy,,1,GISAID,Yes,Text,Yes,Yes,Yes,Text,No,Yes,No,No,Yes,No,Yes,Text
696,35350713,Agwa 2022,Identifying SARS-CoV-2 Lineage Mutation Hallmarks and Correlating Them With Clinical Outcomes in Egypt: A Pilot Study,2022, Egypt,,35,GISAID,Yes,Table,Yes,Yes,Yes,Text; Table,Yes,Yes,No,Yes,Yes,No,No,Text; table
695,35136068,Aggarwal 2022,Genomic epidemiology of SARS-CoV-2 in a UK university identifies dynamics of transmission,2022,UK,,553,GISAID; Sequence read archive (SRA); ENA,Yes,Text; Supplemental materials,No,No,No,,No,Yes,No,No,Yes,No,No,Text
693,34982246,Afridi 2022,Genomic Characterization of SARS-CoV2 from Peshawar Pakistan Using Next-Generation Sequencing,2022, Pakistan,,1,GenBank,Yes,Text; Figure,No,No,No,,No,No,No,No,Yes,No,No,Text
692,35528635,Acuña-Castillo 2022,"First Identification of Reinfection by a Genetically Different Variant of SARS-CoV-2 in a Homeless Person from the Metropolitan Area of Santiago, Chile",2022, Chile,,2,BioProject; BioSample,Yes,Text,Yes,Yes,No,Text,Yes,No,No,No,No,No,No,Text
688,35343761,AbantoMarin 2022,"Genome Sequences of 408 SARS-CoV-2 Strains Obtained from Nasopharyngeal Swabs in La Araucanía Region, Southern Chile",2022, Chile,,408,GenBank; GISAID; Sequence read archive (SRA),Yes,Table,Yes,Yes,No,Table,No,Yes,Yes,No,No,No,Yes,table
218,34319130,Borges 2021,Long-Term Evolution of SARS-CoV-2 in an Immunocompromised Patient with Non-Hodgkin Lymphoma,2021, portugal,,,GISAID,Yes,Supplemental materials,Yes,Yes,No,Text,Yes,Yes,Yes,Yes,Yes,Yes,No,Text
214,34394051,Biswas 2021,Genomic Surveillance and Phylodynamic Analyses Reveal the Emergence of Novel Mutations and Co-mutation Patterns Within SARS-CoV-2 Variants Prevalent in India,2021,India,,54,GISAID,Yes,Supplemental materials,Yes,Yes,No,Text; Supplemental,No,No,No,No,No,No,No,
213,33387262,Billon-Denis 2021,Differential serological and neutralizing antibody dynamics after an infection by a single SARS-CoV-2 strain,2020, France,,2,GISAID,Yes,Text,Yes,Yes,No,Text,No,Yes,Yes,Yes,Yes,No,No,Text
210,33502471,Bhatnagar 2021,"Evidence of Severe Acute Respiratory Syndrome Coronavirus 2 Replication and Tropism in the Lungs, Airways, and Vascular Endothelium of Patients With Fatal Coronavirus Disease 2019: An Autopsy Case Series",2021,United States,,26,GenBank,Yes,Supplemental materials,Yes,Yes,No,Text; Table,Yes,No,Yes,No,No,No,No,Text; table
209,35047415,Bhat 2021,"Learning From Biological and Computational Machines: Importance of SARS-CoV-2 Genomic Surveillance, Mutations and Risk Stratification",2021,India,,92,GISAID,Yes,Text,Yes,Yes,No,Table; Supplemental,Yes,Yes,No,Yes,Yes,No,No,Text; table; Supplemental
206,34869069,Benslimane 2021,One Year of SARS-CoV-2: Genomic Characterization of COVID-19 Outbreak in Qatar,2021, Qatar,,2241,GISAID,Yes,Supplemental materials,Yes,Yes,Yes,Text; Table; Supplemental,No,No,No,No,No,No,No,
202,34846283,Barona-Gómez 2021,Phylogenomics and population genomics of SARS-CoV-2 in Mexico during the pre-vaccination stage reveals variants of interest B.1.1.28.4 and B.1.1.222 or B.1.1.519 and the nucleocapsid mutation S194L associated with symptoms,2021, Mexico,,82,GISAID;  popgen library,Yes,Supplemental materials,Yes,Yes,No,Supplemental,No,No,No,No,Yes,No,No,Supplemental
201,34854726,Banu 2021,Genome Sequencing of the SARS-CoV-2 Delta (B.1.617.2) Variant of Concern Detected in Bangladesh,2021, Bangladesh,,1,GenBank; Sequence read archive (SRA); BioProject,Yes,Text,Yes,Yes,No,Text,No,No,No,No,Yes,No,No,Text
200,33857136,Ballesteros 2021,Deciphering the introduction and transmission of SARS-CoV-2 in the Colombian Amazon Basin,2021, Columbia,,59,GISAID,Yes,Figure; Supplemental materials,Yes,Yes,Yes,Table,Yes,Yes,No,No,Yes,No,No,table
197,34651569,Baj 2021,Spike protein evolution in the SARS-CoV-2 Delta variant of concern: a case series from Northern Lombardy,2021, Italy,,97,GISAID,Yes,Table,Yes,Yes,No,Text; Table,Yes,No,Yes,No,Yes,No,Yes,Text
196,34170846,Atsawawaranunt 2021,COVID-19 Transmission among Healthcare Workers at a Quarantine Facility in Thailand: Genomic and Outbreak Investigations,2021, Thailand,,8,GISAID,Yes,Supplemental materials,No,Yes,No,Text,No,No,No,No,Yes,No,No,Text
194,34428777,Annavajhala 2021,Emergence and expansion of SARS-CoV-2 B.1.526 after identification in New York,2021,United States,,1507,GISAID; BioProject,No,Text,Yes,Yes,Yes,Supplemental,Yes,Yes,Yes,Yes,No,Yes,No,Supplemental
192,33871331,Amorim 2021,"Respiratory Viral Shedding in Healthcare Workers Reinfected with SARS-CoV-2, Brazil, 2020",2021,Brazil,,4,GISAID,Yes,Text,Yes,Yes,No,Text; Table,Yes,Yes,No,No,Yes,No,No,table
191,33292923,Amendola 2021,"Evidence of SARS-CoV-2 RNA in an Oropharyngeal Swab Specimen, Milan, Italy, Early December 2019",2021, Italy,,1,GenBank,Yes,Text,Yes,Yes,No,Text,No,No,No,No,Yes,No,No,Text
190,34019466,Amato 2021,Multiple detection and spread of novel strains of the SARS-CoV-2 B.1.177 (B.1.177.75) lineage that test negative by a commercially available nucleocapsid gene real-time RT-PCR,2021, Italy,,18,GISAID,No,Table,No,No,No,,No,No,No,No,Yes,No,No,table
189,33469026,Alteri 2021,"Genomic epidemiology of SARS-CoV-2 reveals multiple lineages and early spread of SARS-CoV-2 infections in Lombardy, Italy",2021, Italy,,371,GISAID; ENA,Yes,Text; Supplemental materials,Yes,Yes,No,Text; Table,Yes,No,No,No,Yes,No,No,table
188,33477951,Alosaimi 2021,"Structural Mapping of Mutations in Spike, RdRp and Orf3a Genes of SARS-CoV-2 in Influenza Like Illness (ILI) Patients",2021, Saudi Arabia,,17,GenBank,Yes,Text; Supplemental materials,Yes,Yes,No,Text; Table,No,No,No,No,Yes,No,No,Text; table
186,34554000,Alemayehu 2021,Whole-Genome Sequences of SARS-CoV-2 Isolates from Ethiopian Patients,2021, Ethiopia,,3,GenBank; GISAID; Sequence read archive (SRA),Yes,Text,No,No,No,,No,Yes,No,No,No,No,No,Text
185,34197207,Alanagreh 2021,New SARS-CoV-2 Variant from Jordan,2021, Jordan,,1,GenBank; GISAID; Sequence read archive (SRA),Yes,Text,Yes,Yes,No,Text,No,Yes,No,No,No,No,No,Text
