tweet_id	user_id	text	created_at	is_flu_test_rgx	pred_label
1855019055297781893	1284228399150575617	"Well started off the week thinking I had a virus, Dr was also convinced it was a virus. She had me get a COVID and flu test ""just to be safe"" ... next day test results show I  have COVID for a 2nd time. This time was 10X worse than the first, but still not as bad as others had it"	11/8/24 22:46	FALSE	Negative
1864663210428653893	1440025905141882890	@ChisholmChet @Vets4FreeCanada @TheTorontoSun @PeterRMacIsaac Nurses said the same thing. We seen it in late October.  All flu tests were negative.	12/5/24 13:28	TRUE	Negative
1859662029004603810	1771533288160837632	"@LucidTrading_ @elonmusk OP is a retarded ass, weak beta test tube baby. Never took the shot, never had Convoluted -19 or a cold/flu in years. It's amazing what a healthy diet with exercise can do to make the body more resilient 🤣 But no, TrUsT dA sCiEnCe"	11/21/24 18:15	FALSE	Negative
1856426146931384632	910675036385824769	"Trip to urgent care today. Tested negative for flu, Covid, strep throat, etc. Thankfully just an upper respiratory infection. 🤧"	11/12/24 19:57	TRUE	Negative
1859795484417851408	1081665278562320384	@DrKellyVictory tests were 🐂💩🐂💩... 0%flu and pneumonia ... why test with a ridiculous test that wasn't even an isolated virus?	11/22/24 3:06	FALSE	Negative
1861565806037082285	1177746348914835459	ปีนี้ URI มาแนวไข้ไม่สูง แต่ไอเยอะ ไอนาน เสียงแหบเยอะ swab flu/COVID neg ไอเป็นสัปดาห์ๆ เยอะมาก เจอเกือบทุกคน (เพื่อนคนนึงไป swab เจอ rhino/entero)ถ้า pnuemonia ปีนี้ก็คือ mycoplasma ไปเลย skin lesion สวยๆไอโค่กๆ หรือ severe pneumonia ใส่ ETTขอบคุณที่ปีนี้ dengue ไม่ดุมาก	11/27/24 0:20	FALSE	Negative
1856442795017335098	1298391763904802817	"@MAGAResource @TrumpDailyPosts Me, tested positive once, no symptoms, 64 F, workout, active, healthy weight, have never had more than a 24 hour cold in the last 15 years, never had the flu, felt zero need to risk the shot. Husband had to take one J&amp;J to travel overseas"	11/12/24 21:03	FALSE	Negative
1861276346674205055	1157340123018776576	"i’m negative for covid, strep, or even the flu, so maybe it was a one off thing????"	11/26/24 5:10	FALSE	Negative
1859314467265540283	1587347953865445376	"@iAnonPatriot 0 that I know of. I did have a bad flu one year, but I believe the test came back negative.So 0 or 1 times."	11/20/24 19:14	FALSE	Negative
1857013026488017201	3226629523	"@rikibowler Ooh I had my 2nd one 6 weeks ago. Ended up with the worst flu that never tested as a flu (or covid, or anything else) I’ve ever had. Hopefully you don’t get that. Mine came on about two days after."	11/14/24 10:49	FALSE	Negative
1853585370018910279	1890663318	"@kingsdisguise I’m so happy I tested beforehand. Definitely wasn’t 100% but no covid, flu, etc."	11/4/24 23:49	FALSE	Negative
1859559195915301279	1815200315999739904	"@MTGrepp Never had covid, never vaxxed, never masked, never tested, and never had the flu. Only medical issues were tonsils, 3 kids and I broke my leg. I don't go to the Dr. And I'm on no prescription drugs. My leg Dr couldn't get over how healthy I am."	11/21/24 11:27	FALSE	Negative
1859960285127491607	1682457299695333377	"apparently, it isn't influenza. or i have a secondary infection.the swab test from this afternoon shows that i am RSV positive.I'm so glad i decided to go to the hospital and insisted to be admitted instead of being discharged with just antibiotics without any blood work or… https://t.co/RkLhGBVztb"	11/22/24 14:01	FALSE	Negative
